Product Name,Model,SKU,Category,Brands,Price (Special Price),Quantity,Total,Points,Weight,Store,Status
,Size/M,,,,+0.0000,9,14850,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,8,13200,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,16500,+0,+0.00000000,Default,
,Size/XS,,,,+0.0000,10,16500,+0,+0.00000000,Default,
Casual Blue Dress with contrast piping,BP1027,,"Womens,Womens &gt; Dress",Beyond Pink,2199.0000,36,79164,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,19791,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,7,15393,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,3,6597,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,8,17592,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,19791,+0,+26.00000000,Default,
Chakola,BP9004,,Bellerinas,Beyond Pink,799.0000,19,15181,0,0.00000000,Default,Enabled
,Size/4,,,,+0.0000,4,3196,+0,+0.00000000,Default,
,Size/5,,,,+0.0000,5,3995,+0,+0.00000000,Default,
,Size/6,,,,+0.0000,5,3995,+0,+0.00000000,Default,
,Size/7,,,,+0.0000,5,3995,+0,+0.00000000,Default,
,Size/8,,,,+0.0000,0,0,+0,+0.00000000,Default,
Color  Contrast Love Shift Outfit,BP1105,,Womens &gt; Dress,Beyond Pink,3000.0000,39,117000,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,30000,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,27000,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,10,30000,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,30000,+0,+0.00000000,Default,
Color Block Skater Dress,BP1090,,Womens &gt; Dress,Beyond Pink,1799.0000,38,68362,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,17990,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,16191,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,16191,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,17990,+0,+0.00000000,Default,
Color Contrast Angel Dress,BP1107,,Womens &gt; Dress,Beyond Pink,1800.0000,28,50400,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,3,5400,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,6,10800,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,16200,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,5,9000,+0,+0.00000000,Default,
,Size/XS,,,,+0.0000,5,9000,+0,+0.00000000,Default,
Color Contrast Dress with DrawString1,BP1071,,Womens &gt; Dress,Beyond Pink,1750.0000,7,12250,0,0.00000000,Default,Enabled
Color Contrast Jumpsuit,BP 5005,,JumpSuits,Beyond Pink,1650.0000,32,52800,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,14850,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,7,11550,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,7,11550,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,14850,+0,+0.00000000,Default,
Color Contrast Shirt,BP4007,,Womens &gt; Shirt,Beyond Pink,1560.0000,38,59280,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,15600,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,14040,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,10,15600,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,14040,+0,+0.00000000,Default,
Color Contrast Skater Dress,BP1026,,"Womens,Womens &gt; Dress",Beyond Pink,2450.0000,21,51450,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,5,12250,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,0,0,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,0,0,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,8,19600,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,8,19600,+0,+24.00000000,Default,
ColorBlock A Line Dress,BP1051,,Womens &gt; Dress,Beyond Pink,1500.0000,27,40500,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,15000,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,8,12000,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,0,0,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,13500,+0,+0.00000000,Default,
ColorBlock Dress with Bow,BP1023,,"Womens,Womens &gt; Dress",Beyond Pink,1450.0000,42,60900,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,13050,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,8,11600,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,7,10150,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,13050,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,13050,+0,+6.00000000,Default,
ColorBlock Shirt,BP4001,,"Womens,Womens &gt; Shirt",Beyond Pink,1450.0000,40,58000,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,6,8700,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,13050,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,7,10150,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,13050,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,13050,+0,+11.00000000,Default,
ColorBlock Skater Dress,BP1014,,Womens &gt; Dress,Beyond Pink,2150.0000,37,79550,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,21500,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,7,15050,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,10,21500,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,21500,+0,+0.00000000,Default,
Colorblock Sleeveless Top,BP4004,,"Womens,Womens &gt; Top",Beyond Pink,1350.0000,41,55350,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,7,9450,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,12150,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,7,9450,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,12150,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,12150,+0,+14.00000000,Default,
